,customer_id
48,0a4e6440-a9dc-11e9-a2fc-000d3a38a36f
49,0a7329f8-a110-11e9-a2fc-000d3a38a36f
50,0a9011fe-2f71-11ea-bb80-000d3a38a36f
51,0ac4bd5c-0d54-11eb-8ffc-000d3a38a36f
52,0b195256-aab1-11e9-a2fc-000d3a38a36f
53,0b27d99c-9df0-11ea-80cd-000d3a38a36f
54,0b640f60-1c87-11ea-a490-000d3a38a36f
55,0b67c74c-2b76-11ea-9d27-000d3a38a36f
56,0b89590e-9db7-11e9-9897-000d3a38a36f
57,0bd7f67e-ede6-11ea-bb5a-000d3a38a36f
58,0c24fc44-2ac8-11ea-9d27-000d3a38a36f
59,0c2d8c68-f361-11e9-9346-000d3a38a36f
60,0c3b4492-9e08-11e9-9897-000d3a38a36f
61,0c5bf524-a7c3-11e9-a2fc-000d3a38a36f
62,0ca16b6c-5b06-11ea-8392-000d3a38a36f
63,0caf637a-0c9a-11eb-8ffc-000d3a38a36f
64,0cea49f8-5f02-11eb-8dbd-000d3a38a36f
65,0d5265a8-24cd-11ea-bf27-000d3a38a36f
66,0d5973ba-d702-11ea-82f4-000d3a38a36f
67,0d9a4224-ab65-11e9-a2fc-000d3a38a36f
68,0da9ae80-a8f4-11e9-a2fc-000d3a38a36f
69,0dd11f56-8d73-11ea-8f41-000d3a38a36f
70,0e44b5fc-aa24-11e9-a2fc-000d3a38a36f
71,0e6693d6-a99b-11e9-a2fc-000d3a38a36f
72,0ebe5f68-b089-11e9-9757-000d3a38a36f
73,0ece152a-af9e-11e9-a2fc-000d3a38a36f
74,0f115e3c-a144-11ea-afff-000d3a38a36f
75,0f37c9fc-26c6-11eb-8a9b-000d3a38a36f
76,0f5c2fc4-1d3d-11ea-a490-000d3a38a36f
77,0f63f6c0-a1bc-11e9-a2fc-000d3a38a36f
78,0fd279be-a5be-11e9-a2fc-000d3a38a36f
79,105c5046-61d2-11ea-8dd8-000d3a38a36f
80,109e9e58-fd58-11e9-a5e8-000d3a38a36f
81,10f7164e-a8c3-11e9-a2fc-000d3a38a36f
82,111db0b6-afc0-11e9-9757-000d3a38a36f
83,11419eb0-2c5f-11ea-b752-000d3a38a36f
84,1152fa5c-a915-11e9-a2fc-000d3a38a36f
85,115f855a-5bdb-11ea-8e16-000d3a38a36f
86,1174bb82-3fce-11eb-806e-000d3a38a36f
87,118de2aa-a0bb-11e9-a2fc-000d3a38a36f
88,11e2bdae-533d-11ea-acd3-000d3a38a36f
89,11fb8f1e-9e25-11e9-9897-000d3a38a36f
90,1206f3f2-ace6-11e9-a2fc-000d3a38a36f
91,126a9328-aeff-11ea-b736-000d3a38a36f
92,12806c5e-1a97-11ea-98d5-000d3a38a36f
93,1295f1ca-2124-11eb-b361-000d3a38a36f
94,12a2852e-9daa-11e9-9897-000d3a38a36f
95,12dd5428-a5b7-11e9-a2fc-000d3a38a36f
96,13464424-5cbd-11eb-8dbd-000d3a38a36f
97,13485f12-abc3-11ea-b736-000d3a38a36f
98,13a0117a-5bc9-11ea-9114-000d3a38a36f
99,13a5e98c-a824-11e9-a2fc-000d3a38a36f
100,13cc7d14-a76a-11e9-a2fc-000d3a38a36f
101,13ec02d2-a513-11e9-a2fc-000d3a38a36f
102,13ed97a4-b167-11e9-89fa-000d3a38a36f
103,13fe9852-a798-11e9-a2fc-000d3a38a36f
104,14028456-ad1c-11e9-a2fc-000d3a38a36f
105,144624b4-a302-11e9-a2fc-000d3a38a36f
106,14485136-9d8e-11e9-9897-000d3a38a36f
107,1456f408-1e7f-11ea-aa32-000d3a38a36f
108,1461b37c-5be0-11ea-a4d0-000d3a38a36f
109,146558ea-9e7d-11e9-9897-000d3a38a36f
110,146b62d8-a5a5-11e9-a2fc-000d3a38a36f
111,147f9228-9e19-11e9-9897-000d3a38a36f
112,14f1c564-a486-11e9-a2fc-000d3a38a36f
113,150bd982-da49-11ea-a65b-000d3a38a36f
114,1517dc4e-9f73-11e9-a2fc-000d3a38a36f
115,154461ac-5bab-11ea-84be-000d3a38a36f
116,154efc40-d620-11e9-93bc-000d3a38a36f
117,1583f892-a78a-11e9-a2fc-000d3a38a36f
118,158a0ba0-ad8f-11e9-a2fc-000d3a38a36f
119,15aafbda-9dcc-11e9-9897-000d3a38a36f
120,15ad2b5a-49ae-11eb-806e-000d3a38a36f
121,15b476ec-9d86-11e9-9897-000d3a38a36f
122,1637d1d6-de1d-11e9-957d-000d3a38a36f
123,164d388e-a720-11e9-a2fc-000d3a38a36f
124,167e930a-da17-11e9-93bc-000d3a38a36f
125,1684eda8-d63a-11e9-93bc-000d3a38a36f
126,169a12f4-ad37-11e9-a2fc-000d3a38a36f
127,16b17a7c-b0c3-11e9-9757-000d3a38a36f
128,16ef5a7e-b120-11e9-9757-000d3a38a36f
129,17261cc6-ac66-11e9-a2fc-000d3a38a36f
130,175699e0-2ac0-11ea-b3a7-000d3a38a36f
131,176fe254-bbf9-11ea-9a91-000d3a38a36f
132,178a35cc-b160-11e9-89fa-000d3a38a36f
133,17dd89f0-713d-11ea-adca-000d3a38a36f
134,1805b5ca-5b52-11ea-8770-000d3a38a36f
135,181fc774-abb4-11e9-a2fc-000d3a38a36f
136,18265ec8-c67e-11ea-9bc9-000d3a38a36f
137,1854e56c-491f-11eb-806e-000d3a38a36f
138,189eea8a-ac8c-11e9-a2fc-000d3a38a36f
139,18acf516-cc12-11ea-b305-000d3a38a36f
140,18d2b56e-af83-11e9-a2fc-000d3a38a36f
141,1900d782-5bef-11ea-99d6-000d3a38a36f
142,196edf12-ac71-11e9-a2fc-000d3a38a36f
143,1981e95a-2957-11ea-b87a-000d3a38a36f
